"cik","s"
1000184,"http://dbpedia.org/resource/SAP"
1330088,"http://dbpedia.org/resource/Michelle_Obama"
901999,"http://dbpedia.org/resource/Larry_Ellison"
40545,"http://dbpedia.org/resource/General_Electric"
47217,"http://dbpedia.org/resource/Vodafone"
50863,"http://dbpedia.org/resource/Intel_Corporation"
96289,"http://dbpedia.org/resource/RadioShack"
712515,"http://dbpedia.org/resource/Electronic_Arts"
738076,"http://dbpedia.org/resource/3Com"
858877,"http://dbpedia.org/resource/Cisco_Systems"
902012,"http://dbpedia.org/resource/Bill_Gates"
1000180,"http://dbpedia.org/resource/SanDisk"
1007844,"http://dbpedia.org/resource/Steve_Jobs"
1036960,"http://dbpedia.org/resource/Fairchild_Semiconductor"
1119664,"http://dbpedia.org/resource/Nortel"
1156077,"http://dbpedia.org/resource/TopCoder"
904057,"http://dbpedia.org/resource/Paul_Allen"
1014931,"http://dbpedia.org/resource/Vulcan_Inc."
21344,"http://dbpedia.org/resource/The_Coca-Cola_Company"
835403,"http://dbpedia.org/resource/Diageo"
70850,"http://dbpedia.org/resource/Bank_of_America"
27996,"http://dbpedia.org/resource/Deluxe_Corporation"
40545,"http://dbpedia.org/resource/General_Electric"
47217,"http://dbpedia.org/resource/Hewlett-Packard"
47217,"http://dbpedia.org/resource/Vodafone"
50863,"http://dbpedia.org/resource/Intel_Corporation"
51143,"http://dbpedia.org/resource/IBM"
96289,"http://dbpedia.org/resource/RadioShack"
712515,"http://dbpedia.org/resource/Electronic_Arts"
738076,"http://dbpedia.org/resource/3Com"
808461,"http://dbpedia.org/resource/GCI_%28company%29"
858877,"http://dbpedia.org/resource/Cisco_Systems"
1000180,"http://dbpedia.org/resource/SanDisk"
1036960,"http://dbpedia.org/resource/Fairchild_Semiconductor"
1043769,"http://dbpedia.org/resource/Covad"
1064060,"http://dbpedia.org/resource/Retalix"
1066833,"http://dbpedia.org/resource/DOV_Pharmaceutical"
1086434,"http://dbpedia.org/resource/AudioCodes"
1089511,"http://dbpedia.org/resource/Alaska_Communications_Systems"
1102541,"http://dbpedia.org/resource/EarthLink"
1104855,"http://dbpedia.org/resource/Support.com"
1119664,"http://dbpedia.org/resource/Nortel"
1156077,"http://dbpedia.org/resource/TopCoder"
1262976,"http://dbpedia.org/resource/Vistaprint"
1381325,"http://dbpedia.org/resource/BigBand_Networks"
